Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030130010119RH6,128.455,4.99992,5.00001,PASSED,FAILED,PASSED,PASSED,381.2,411.2, --- , 4.99988,4.99997,PASSED,FAILED,PASSED,PASSED,418.4,364.8,FAIL,6/21/2024 8:29:03 AM
ZJ24030130010119RH6,128.955,5.0001,4.99997,PASSED,FAILED,PASSED,PASSED,389.6,393.6, --- , 5.00028,5,PASSED,FAILED,PASSED,PASSED,412,388,FAIL,6/21/2024 8:31:28 AM
ZJ24030130010096RH6,127.484,4.99998,4.9998,PASSED,FAILED,PASSED,PASSED,316.4,319.2, --- , 4.99976,4.99976,PASSED,FAILED,FAILED,FAILED,290.4,311.2,FAIL,6/21/2024 8:33:15 AM
ZJ24030130010118RH6,127.354,5.00034,4.99998,PASSED,FAILED,PASSED,PASSED,367.2,433.6, --- , 5.00008,4.99989,PASSED,FAILED,PASSED,PASSED,399.2,447.6,FAIL,6/21/2024 8:35:07 AM
ZJ24030130010057RH6,126.74,4.99976,4.99977,PASSED,FAILED,PASSED,PASSED,407.2,413.2, --- , 5.00006,4.99959,PASSED,FAILED,PASSED,PASSED,424,404.4,FAIL,6/21/2024 8:37:04 AM
ZJ24030130010057RH6,117.043,5.00012,5,PASSED,PASSED,PASSED,PASSED,410.4,390.4,PASS,6/21/2024 8:38:47 AM
ZJ24030130010118RH6,117.158,5.0004,4.99993,PASSED,PASSED,PASSED,PASSED,364,445.6,PASS,6/21/2024 8:40:01 AM
ZJ24030130010119RH6,117.828,4.9998,5.00014,PASSED,PASSED,PASSED,PASSED,426.4,382.4,PASS,6/21/2024 8:41:05 AM
ZJ24030130010096RH6,117.196,4.99998,4.99973,PASSED,PASSED,PASSED,PASSED,319.2,317.6, --- , 5.00004,4.99979,PASSED,PASSED,PASSED,PASSED,303.2,332.8,FAIL,6/21/2024 8:43:00 AM
ZJ24030130010108RH6,117.361,5.00006,5.00011,PASSED,PASSED,PASSED,PASSED,400,415.2,PASS,6/21/2024 8:44:04 AM
ZJ24030130010112RH6,115.405,4.99958,5.0001,PASSED,PASSED,PASSED,PASSED,391.2,391.2,PASS,6/21/2024 8:45:12 AM
ZJ24030130010093RH6,117.023,5.00044,5.00032,PASSED,PASSED,PASSED,PASSED,372,408,PASS,6/21/2024 8:46:14 AM
ZJ24030130010106RH6,116.847,4.9994,4.99965,PASSED,PASSED,PASSED,PASSED,416.8,393.6,PASS,6/21/2024 8:47:13 AM
ZJ24030130010114RH6,117.068,5.00028,5.00045,PASSED,PASSED,PASSED,PASSED,398.4,423.2,PASS,6/21/2024 8:48:15 AM
ZJ24030130010107RH6,117.156,5,5.00061,PASSED,PASSED,PASSED,PASSED,407.2,420.8,PASS,6/21/2024 8:49:26 AM
ZJ24030130010072RH6,117.862,4.99996,5.00027,PASSED,PASSED,PASSED,PASSED,416,437.6,PASS,6/21/2024 8:50:43 AM
ZJ24030130010077RH6,117.472,5.00032,5.00025,PASSED,PASSED,PASSED,PASSED,409.6,416,PASS,6/21/2024 8:51:50 AM
ZJ24030130010056RH6,115.717,5.00028,5.00037,PASSED,PASSED,PASSED,PASSED,390.4,192, --- , 5.00052,5.00003,PASSED,PASSED,PASSED,PASSED,392,208,FAIL,6/21/2024 8:53:30 AM
ZJ24030130010078RH6,115.464,4.99946,5.00017,PASSED,PASSED,PASSED,PASSED,400.8,410.4,PASS,6/21/2024 8:54:34 AM
ZJ24030130010120RH6,115.943,5.00052,4.99986,PASSED,PASSED,PASSED,PASSED,406.4,424.8,PASS,6/21/2024 8:55:50 AM
ZJ24030130010113RH6,115.702,5.00014,4.9994,PASSED,PASSED,PASSED,PASSED,388,416.8,PASS,6/21/2024 8:56:59 AM
ZJ24030130010071RH6,114.156,4.99976,4.99979,PASSED,PASSED,PASSED,PASSED,417.6,436,PASS,6/21/2024 8:58:13 AM
ZJ24030130010076RH6,116.968,5.00004,5.00008,PASSED,PASSED,PASSED,PASSED,403.6,405.2,PASS,6/21/2024 8:59:17 AM
ZJ24030130010092RH6,116.642,5.00002,5.00039,PASSED,PASSED,PASSED,PASSED,414.4,416.4,PASS,6/21/2024 9:00:36 AM
ZJ24030130010094RH6,116.31,4.99988,4.99933,PASSED,PASSED,PASSED,PASSED,388,393.6,PASS,6/21/2024 9:01:46 AM
ZJ24030130010075RH6,117.467,5.00052,5.00017,PASSED,PASSED,FAILED,FAILED,416,448, --- , 5.00018,5.00017,PASSED,PASSED,PASSED,PASSED,425.6,424.8,PASS,6/21/2024 9:03:42 AM
ZJ24030130010070RH6,115.327,4.99996,5.00017,PASSED,PASSED,PASSED,PASSED,412.8,386.4,PASS,6/21/2024 9:04:45 AM
ZJ24030130010085RH6,117.742,5.00028,4.99971,PASSED,PASSED,PASSED,PASSED,419.2,398.4,PASS,6/21/2024 9:26:16 AM
ZJ24030130010095RH6,114.253,4.9997,4.9999,PASSED,PASSED,PASSED,PASSED,363.2,348.8, --- , 5.0002,4.99988,PASSED,PASSED,PASSED,PASSED,368,342.4,FAIL,6/21/2024 9:28:09 AM
ZJ24030130010091RH6,114.331,4.99994,4.99994,PASSED,PASSED,PASSED,PASSED,382.4,412.8,PASS,6/21/2024 9:29:16 AM
ZJ24030130010051RH6,117.887,4.99962,4.99945,PASSED,PASSED,PASSED,PASSED,425.6,452.4,PASS,6/21/2024 9:30:36 AM
ZJ24030130010086RH6,116.343,5.00022,5.00061,PASSED,PASSED,PASSED,PASSED,416,438,PASS,6/21/2024 9:31:45 AM
ZJ24030130010049RH6,116.241,4.99976,4.99954,PASSED,PASSED,FAILED,FAILED,424,442.4, --- , 4.9996,4.99983,PASSED,PASSED,PASSED,PASSED,410.8,418.4,PASS,6/21/2024 9:33:47 AM
ZJ24030130010074RH6,115.871,5.00024,4.99973,PASSED,PASSED,PASSED,PASSED,389.6,395.2,PASS,6/21/2024 9:36:05 AM
ZJ24030130010087RH6,116.45,4.9997,4.99959,PASSED,PASSED,PASSED,PASSED,389.6,353.6, --- , 5.00018,4.99979,PASSED,PASSED,PASSED,PASSED,408.8,381.2,PASS,6/21/2024 9:37:56 AM
ZJ24030130010050RH6,116.357,5.00004,5.00004,PASSED,PASSED,PASSED,PASSED,378.4,430.8,PASS,6/21/2024 9:39:14 AM
ZJ24030130010073RH6,116.662,5.00026,4.99974,PASSED,PASSED,PASSED,PASSED,424.8,432,PASS,6/21/2024 9:44:30 AM
ZJ24030130010045RH6,120.213,5.00002,5.00014,PASSED,PASSED,PASSED,PASSED,363.2,422.4,PASS,6/21/2024 9:45:40 AM
ZJ24030130010044RH6,117.106,5.0001,4.99994,PASSED,PASSED,PASSED,PASSED,405.6,397.2,PASS,6/21/2024 9:55:46 AM
ZJ24030130010043RH6,116.755,5.00002,5.0004,PASSED,PASSED,PASSED,PASSED,428,400.4,PASS,6/21/2024 9:57:28 AM
ZJ24030130010055RH6,116.61,5.00016,4.99979,PASSED,PASSED,PASSED,PASSED,387.6,402.4,PASS,6/21/2024 9:58:44 AM
ZJ24030130010056RH6,116.032,4.99992,5.00057,PASSED,PASSED,PASSED,PASSED,389.6,208, --- , 5.00012,5.00045,PASSED,PASSED,FAILED,FAILED,388.8,227.6,FAIL,6/21/2024 10:01:46 AM
ZJ24030130010056RH6,116.094,4.99982,5.00046,PASSED,PASSED,PASSED,PASSED,378.4,217.2, --- , 4.9997,5.00025,PASSED,PASSED,PASSED,PASSED,429.6,218.8,FAIL,6/21/2024 10:14:07 AM
ZJ24030130010096RH6,117.085,4.99974,5.00055,PASSED,PASSED,FAILED,FAILED,310,324.8, --- , 4.99988,4.99979,PASSED,PASSED,PASSED,PASSED,311.2,315.2,FAIL,6/21/2024 10:16:18 AM
ZJ24030130010056RH6,116.296,4.99966,4.99949,PASSED,PASSED,PASSED,PASSED,390.4,230.8, --- , 5.00022,5.00008,PASSED,PASSED,PASSED,PASSED,404.8,193.2,FAIL,6/21/2024 10:18:12 AM
