Serial #s,Lo Off Gate Voltage,Hi On Gate Voltage,Hi Off Gate Voltage,Lo On Gate Voltage,Digital +5V,Hi Pos Vunreg,Hi Neg Vunreg,Hi +5V,Hi -5V,Lo Pos Vunreg,Lo Neg Vunreg,Lo +5V,Lo -5V,Hi  Freq,Hi Duty,Lo Freq,Lo Duty,TempFreq,Temp Duty,DCL Freq,DCL Duty, Result, DateTime
ZJ24030750010148RH6,5.63,19.71,5.65,20.01,5.32,22.43,8.42,5.31,5.45,22.38,8.42,5.31,5.44,10005,49.65,10002.5,49.61,31520.88,55.91,31533.31,50.65,PASS,7/18/2024 7:08:02 AM
ZJ24030750010149RH6,5.64,19.59,5.62,19.76,5.33,22.44,8.42,5.3,5.47,22.39,8.42,5.31,5.43,10003.75,49.61,10003.75,49.62,31545.74,55.52,31545.74,49.21,PASS,7/18/2024 7:08:43 AM
ZJ24030750010150RH6,5.64,19.7,5.62,19.75,5.34,22.43,8.41,5.3,5.41,22.41,8.42,5.3,5.43,10001.25,49.64,10003.75,49.59,31670.63,55.58,31670.63,0.36,FAIL,7/18/2024 7:09:42 AM
ZJ24030750010150RH6,5.65,19.7,5.62,19.76,5.34,22.43,8.41,5.3,5.41,22.4,8.42,5.3,5.43,10003.75,49.67,10002.5,49.59,31683.17,55.56,31683.17,0.36,FAIL,7/18/2024 7:09:57 AM
ZJ24030750010150RH6,5.65,19.71,5.62,19.75,5.34,22.44,8.41,5.3,5.41,22.4,8.42,5.3,5.43,10003.75,49.63,10000,49.54,31695.72,55.59,31683.17,0.36,FAIL,7/18/2024 7:10:27 AM
ZJ24030750010147RH6,5.64,19.64,5.62,19.78,5.32,22.43,8.39,5.28,5.45,22.39,8.41,5.31,5.44,10006.25,49.67,10002.5,49.57,31558.19,55.58,31558.19,49.9,PASS,7/18/2024 7:11:15 AM
ZJ24030750010146RH6,5.65,19.67,5.62,19.76,5.32,22.44,8.41,5.3,5.45,22.41,8.42,5.3,5.43,10002.5,49.62,10005,49.66,31533.31,55.58,31533.31,51.2,PASS,7/18/2024 7:11:49 AM
ZJ24030750010145RH6,5.67,19.69,5.61,19.79,5.33,22.44,8.41,5.3,5.43,22.4,8.42,5.32,5.42,10002.5,49.62,10003.75,49.64,31733.44,55.57,31733.44,49.74,FAIL,7/18/2024 7:12:30 AM
ZJ24030750010145RH6,5.67,19.69,5.62,19.79,5.32,22.44,8.41,5.3,5.43,22.4,8.43,5.32,5.42,10002.5,49.65,10002.5,49.64,31746.03,55.56,31746.03,49.33,FAIL,7/18/2024 7:12:54 AM
ZJ24030750010144RH6,5.68,19.71,5.63,19.76,5.33,22.44,8.41,5.32,5.44,22.4,8.43,5.31,5.43,10005,49.65,10003.75,49.63,31608.06,55.59,31608.06,47.61,PASS,7/18/2024 7:13:55 AM
ZJ24030750010143RH6,5.65,19.69,5.61,19.75,5.32,22.43,8.42,5.32,5.43,22.37,8.42,5.31,5.45,10002.5,49.64,10002.5,49.62,31545.74,55.6,31533.31,49.94,PASS,7/18/2024 7:14:36 AM
ZJ24030750010142RH6,5.64,19.67,5.64,19.76,5.32,22.44,8.41,5.3,5.42,22.4,8.43,5.32,5.44,10005,49.6,10003.75,49.64,31520.88,55.59,31520.88,50.32,PASS,7/18/2024 7:15:17 AM
ZJ24030750010141RH6,5.65,19.69,5.62,19.79,5.31,22.43,8.41,5.31,5.44,22.39,8.42,5.31,5.43,10003.75,49.58,10001.25,49.66,31570.64,55.56,31570.64,0.47,FAIL,7/18/2024 7:15:51 AM
ZJ24030750010141RH6,5.66,19.7,5.63,19.8,5.31,22.44,8.41,5.31,5.45,22.4,8.42,5.31,5.43,10003.75,49.58,10005,49.66,31570.64,55.6,31570.64,50.12,PASS,7/18/2024 7:17:36 AM
ZJ24030750010140RH6,5.65,19.66,5.65,19.77,5.33,22.44,8.42,5.32,5.44,22.4,8.43,5.32,5.44,10001.25,49.63,10002.5,49.62,31633.06,55.56,31645.57,50.51,PASS,7/18/2024 7:18:25 AM
ZJ24030750010139RH6,5.64,19.67,5.62,19.76,5.32,22.43,8.4,5.3,5.45,22.4,8.41,5.3,5.42,10001.25,49.62,10005,49.61,31570.64,55.56,31570.64,50.59,PASS,7/18/2024 7:19:39 AM
ZJ24030750010138RH6,5.64,19.7,5.63,19.73,5.3,22.44,8.42,5.31,5.44,22.37,8.42,5.31,5.42,10005,49.66,10005,49.62,31645.57,55.62,31633.06,50.73,PASS,7/18/2024 7:20:23 AM
ZJ24030750010137RH6,5.64,19.7,5.61,19.77,5.3,22.44,8.4,5.31,5.44,22.4,8.41,5.31,5.42,10002.5,49.62,10000,49.61,31683.17,55.56,31670.63,49.45,PASS,7/18/2024 7:21:08 AM
ZJ24030750010136RH6,5.65,19.7,5.64,19.95,5.31,22.44,8.42,5.31,5.45,22.39,8.42,5.31,5.43,10005,49.69,10001.25,49.56,31583.1,55.55,31570.64,48.22,PASS,7/18/2024 7:24:02 AM
ZJ24030750010135RH6,5.65,19.7,5.64,19.75,5.33,22.43,8.41,5.31,5.46,22.4,8.42,5.3,5.44,10005,49.67,10001.25,49.57,31595.58,55.57,31595.58,50.51,PASS,7/18/2024 7:24:40 AM
ZJ24030750010134RH6,5.65,19.71,5.66,19.77,5.31,22.44,8.42,5.31,5.43,22.4,8.42,5.31,5.43,10005,49.65,10003.75,49.58,31533.31,55.58,31533.31,50.89,PASS,7/18/2024 7:25:11 AM
ZJ24030750010133RH6,5.64,19.68,5.62,19.78,5.31,22.42,8.41,5.29,5.45,22.4,8.42,5.31,5.44,10005,49.66,10005,49.61,31496.06,55.55,31496.06,50.59,PASS,7/18/2024 7:25:47 AM
ZJ24030750010132RH6,5.68,19.73,5.62,19.77,5.32,22.43,8.41,5.31,5.44,22.4,8.44,5.31,5.42,10003.75,49.64,10006.25,49.68,31670.63,55.54,31683.17,50.42,PASS,7/18/2024 7:26:55 AM
ZJ24030750010131RH6,5.63,19.63,5.62,19.78,5.32,22.43,8.41,5.31,5.47,22.4,8.42,5.3,5.42,10003.75,49.62,10000,49.62,31695.72,55.59,31695.72,49.37,PASS,7/18/2024 7:27:31 AM
ZJ24030750010130RH6,5.64,19.68,5.62,19.76,5.33,22.44,8.41,5.31,5.45,22.4,8.41,5.31,5.42,10003.75,49.68,10002.5,49.57,31583.1,55.55,31583.1,49.31,PASS,7/18/2024 7:28:03 AM
ZJ24030750010129RH6,5.64,19.7,5.62,19.78,5.32,22.43,8.41,5.31,5.44,22.4,8.42,5.31,5.42,10006.25,49.69,10005,49.69,31620.55,55.57,31620.55,48.26,PASS,7/18/2024 7:28:39 AM
ZJ24030750010128RH6,5.69,19.72,5.66,19.79,5.31,22.44,8.42,5.31,5.44,22.41,8.43,5.31,5.42,10001.25,49.53,10005,49.66,31595.58,55.57,31595.58,50.04,PASS,7/18/2024 7:29:15 AM
ZJ24030750010127RH6,5.65,19.71,5.62,19.8,5.31,22.44,8.41,5.32,5.45,22.4,8.41,5.32,5.44,10003.75,49.62,10001.25,49.62,31733.44,55.57,31733.44,49.03,FAIL,7/18/2024 7:29:56 AM
ZJ24030750010127RH6,5.65,19.72,5.62,19.8,5.31,22.44,8.41,5.32,5.45,22.4,8.42,5.32,5.44,10005,49.64,10003.75,49.64,31733.44,55.61,31733.44,50.73,FAIL,7/18/2024 7:30:26 AM
ZJ24030750010127RH6,5.65,19.72,5.62,19.8,5.31,22.44,8.41,5.32,5.45,22.4,8.42,5.32,5.44,10003.75,49.62,10003.75,49.67,31733.44,55.57,31720.86,49.37,FAIL,7/18/2024 7:30:52 AM
ZJ24030750010126RH6,5.64,19.65,5.62,19.78,5.34,22.44,8.41,5.31,5.45,22.39,8.42,5.32,5.46,10001.25,49.62,10003.75,49.61,31595.58,55.57,31595.58,49.84,PASS,7/18/2024 7:31:25 AM
ZJ24030750010125RH6,5.64,19.68,5.65,19.74,5.32,22.43,8.42,5.31,5.45,22.39,8.42,5.3,5.43,10006.25,49.62,10003.75,49.68,31608.06,55.63,31608.06,49.59,PASS,7/18/2024 7:31:59 AM
ZJ24030750010124RH6,5.66,19.7,5.63,19.74,5.34,22.42,8.42,5.32,5.44,22.38,8.43,5.3,5.45,10001.25,49.58,9998.75,49.58,31608.06,55.55,31620.55,49.57,PASS,7/18/2024 7:32:33 AM
ZJ24030750010123RH6,5.68,19.71,5.62,19.78,5.33,22.44,8.41,5.31,5.44,22.4,8.43,5.32,5.42,10005,49.65,10006.25,49.66,31570.64,55.56,31570.64,48.38,PASS,7/18/2024 7:33:10 AM
ZJ24030750010122RH6,5.64,19.65,5.61,19.77,5.32,22.43,8.41,5.31,5.45,22.4,8.42,5.31,5.42,10003.75,49.63,10005,49.66,31583.1,55.98,31583.1,50.93,PASS,7/18/2024 7:33:46 AM
ZJ24030750010121RH6,5.65,19.69,5.62,19.77,5.33,22.43,8.41,5.31,5.43,22.39,8.43,5.31,5.45,10001.25,49.62,10003.75,49.66,31520.88,55.63,31520.88,50.35,PASS,7/18/2024 7:34:23 AM
ZJ24030750010120RH6,5.67,19.69,5.66,19.8,5.32,22.43,8.42,5.31,5.44,22.4,8.42,5.32,5.43,10001.25,49.63,10005,49.66,31583.1,55.59,31583.1,0.47,FAIL,7/18/2024 7:35:38 AM
ZJ24030750010120RH6,5.67,19.69,5.66,19.8,5.32,22.43,8.42,5.31,5.45,22.4,8.42,5.32,5.43,10000,49.61,10001.25,49.63,31583.1,55.59,31583.1,0.47,FAIL,7/18/2024 7:35:59 AM
ZJ24030750010120RH6,5.67,19.69,5.67,19.81,5.32,22.43,8.42,5.31,5.45,22.4,8.42,5.32,5.43,10003.75,49.63,10005,49.62,31595.58,55.57,31595.58,0.47,FAIL,7/18/2024 7:36:15 AM
ZJ24030750010119RH6,5.65,20.11,5.63,19.79,5.33,22.43,8.41,5.32,5.45,22.39,8.42,5.31,5.42,10001.25,49.62,10003.75,49.67,31595.58,55.61,31595.58,49.37,PASS,7/18/2024 7:36:52 AM
ZJ24030750010118RH6,5.64,19.7,5.66,19.72,5.34,22.43,8.42,5.31,5.46,22.39,8.42,5.3,5.42,10002.5,49.65,10001.25,49.62,31708.28,55.61,31708.28,50.34,PASS,7/18/2024 7:37:25 AM
ZJ24030750010117RH6,5.66,19.69,5.62,19.79,5.31,22.43,8.4,5.31,5.46,22.38,8.41,5.31,5.42,10000,49.55,10006.25,49.68,31545.74,55.6,31545.74,49.76,PASS,7/18/2024 7:37:54 AM
ZJ24030750010116RH6,5.64,19.71,5.62,19.77,5.31,22.44,8.4,5.31,5.43,22.4,8.42,5.32,5.43,10002.5,49.62,10003.75,49.66,31570.64,55.56,31583.1,50.61,PASS,7/18/2024 7:38:30 AM
ZJ24030750010115RH6,5.65,19.69,5.63,19.78,5.32,22.43,8.41,5.31,5.45,22.4,8.42,5.32,5.42,10001.25,49.61,10003.75,49.68,31496.06,55.94,31496.06,50.79,PASS,7/18/2024 7:39:04 AM
ZJ24030750010114RH6,5.65,19.67,5.62,19.78,5.32,22.43,8.42,5.31,5.46,22.4,8.42,5.31,5.42,10002.5,49.6,10003.75,49.66,31533.31,55.58,31545.74,50.35,PASS,7/18/2024 7:39:52 AM
ZJ24030750010113RH6,5.67,19.72,5.65,19.74,5.33,22.44,8.41,5.32,5.43,22.4,8.43,5.31,5.43,10002.5,49.6,10001.25,49.66,31545.74,55.56,31545.74,49.13,PASS,7/18/2024 7:40:31 AM
ZJ24030750010112RH6,5.65,19.68,5.62,19.79,5.33,22.43,8.41,5.3,5.45,22.4,8.42,5.31,5.42,10003.75,49.64,10003.75,49.68,31545.74,55.6,31545.74,51.3,PASS,7/18/2024 7:41:16 AM
ZJ24030750010111RH6,5.65,19.69,5.61,19.8,5.34,22.44,8.41,5.3,5.46,22.4,8.42,5.31,5.42,10002.5,49.64,10003.75,49.63,31670.63,55.54,31670.63,50.59,PASS,7/18/2024 7:41:52 AM
ZJ24030750010110RH6,5.64,19.69,5.62,19.77,5.33,22.43,8.41,5.31,5.45,22.4,8.42,5.31,5.43,10006.25,49.63,10003.75,49.64,31645.57,55.54,31645.57,49.13,PASS,7/18/2024 7:42:31 AM
ZJ24030750010109RH6,5.65,19.68,5.61,19.79,5.32,22.44,8.42,5.31,5.46,22.4,8.42,5.31,5.43,10005,49.62,10002.5,49.59,31595.58,55.96,31608.06,50.06,PASS,7/18/2024 7:43:17 AM
ZJ24030750010108RH6,5.64,19.68,5.66,19.78,5.32,22.43,8.42,5.31,5.45,22.4,8.42,5.33,5.43,10002.5,49.62,10001.25,49.56,31670.63,55.58,31670.63,49.92,PASS,7/18/2024 7:43:59 AM
ZJ24030750010107RH6,5.64,19.68,5.66,19.78,5.33,22.44,8.42,5.3,5.45,22.4,8.42,5.31,5.42,10002.5,49.62,10005,49.61,31595.58,55.96,31583.1,50.69,PASS,7/18/2024 7:44:38 AM
